station_id,station_name,from_date,to_date,lat,lon,TMK_latest_date,TMK_latest_value,TNK_latest_date,TNK_latest_value,TXK_latest_date,TXK_latest_value,UPM_latest_date,UPM_latest_value
00044,Großenkneten,19690101,20250616,52.9336,8.2370,20250616,16.7,20250616,11.6,20250616,21.5,20250616,79.54
00073,Aldersbach-Kramersepp,19590301,20250616,48.6183,13.0620,20250616,17.8,20250616,14.0,20250616,21.9,20250616,77.96
00078,Alfhausen,19610101,20250616,52.4853,7.9125,20250616,17.0,20250616,11.9,20250616,22.5,20250616,76.63
00091,Alsfeld-Eifa,19781101,20250616,50.7446,9.3450,20250616,16.2,20250616,10.5,20250616,22.4,20250616,73.96
00096,Neuruppin-Alt,20190409,20250616,52.9437,12.8518,20250616,17.8,20250616,14.0,20250616,22.2,20250616,68.25
00102,Leuchtturm,19980101,20250616,53.8633,8.1275,20250616,15.7,20250616,14.5,20250616,17.3,20250616,82.92
00125,Altenstadt,19740301,20250616,47.8342,10.8667,20250616,14.9,,,,,20250616,78.46
00131,Geringswalde-Altgeringswalde,20041101,20250616,51.0881,12.9326,20250616,15.9,20250616,12.0,20250616,21.1,20250616,79.63
00142,Altomünster-Maisbrunn,19550101,20250616,48.4060,11.3117,20250616,17.2,20250616,13.4,20250616,22.2,20250616,74.08
00150,Alzey,19510101,20250616,49.7273,8.1164,20250616,18.0,20250616,12.4,20250616,24.7,20250616,69.92
00151,Amberg-Unterammersricht,19470101,20250616,49.4691,11.8546,20250616,17.9,20250616,12.1,20250616,23.5,20250616,67.96
00154,Amerang-Pfaffing,19940101,20250616,48.0197,12.2925,20250616,16.4,20250616,12.6,20250616,19.8,20250616,80.83
00161,Andernach,19801201,20250616,50.4237,7.4202,20250616,19.3,20250616,12.8,20250616,24.6,20250616,61.83
00164,Angermünde,19080517,20250616,53.0316,13.9908,20250616,18.2,20250616,14.5,20250616,23.1,20250616,66.83
00167,Anklam,20040901,20250616,53.8409,13.6854,20250616,17.5,20250616,14.3,20250616,21.4,20250616,74.67
00183,Arkona,19470101,20250616,54.6791,13.4344,20250616,15.8,20250616,14.0,20250616,18.9,20250616,85.96
00191,Arnstein-Müdesheim,19860401,20250616,49.9694,9.9114,20250616,17.9,20250616,10.6,20250616,23.9,20250616,69.21
00198,Artern,19540101,20250616,51.3744,11.2920,20250616,18.2,20250616,12.8,20250616,23.0,20250616,65.21
00217,Attenkam,19410101,20250616,47.8774,11.3643,20250616,15.7,20250616,13.4,20250616,19.2,20250616,76.92
00222,Aue,19770101,20250616,50.5908,12.7139,20250616,15.4,20250616,9.8,20250616,19.9,20250616,78.46
00232,Augsburg,19470101,20250616,48.4253,10.9417,20250616,16.7,20250616,13.0,20250616,21.3,20250616,76.04
00257,Baden-Baden-Geroldsau,19490101,20250616,48.7270,8.2457,20250616,17.7,20250616,12.2,20250616,23.1,20250616,72.25
00259,Müllheim,19470101,20250616,47.8064,7.6387,20250616,18.6,20250616,10.9,20250616,24.0,20250616,73.92
00282,Bamberg,19490101,20250616,49.8743,10.9206,20250616,18.1,20250616,9.9,20250616,23.5,20250616,62.46
00294,Barsinghausen-Hohenbostel,19920201,20250616,52.3199,9.4300,20250616,17.2,20250616,13.1,20250616,21.8,20250616,74.96
00298,Barth,19470101,20250616,54.3405,12.7108,20250616,17.0,20250616,14.6,20250616,20.6,20250616,78.42
00303,Baruth,19930906,20250616,52.0613,13.4997,20250616,17.6,20250616,10.7,20250616,23.0,20250616,67.67
00314,"Kubschütz,",19360101,20250616,51.1604,14.5042,20250616,16.4,20250616,13.8,20250616,20.2,20250616,82.25
00320,Heinersreuth-Vollhof,18790101,20250616,49.9666,11.5198,20250616,16.8,20250616,8.5,20250616,22.8,20250616,72.58
00330,Oberzent-Beerfelden,19370101,20250616,49.5617,8.9673,20250616,16.6,20250616,12.3,20250616,21.6,20250616,74.00
00342,Belm,20101201,20250616,52.3170,8.1694,20250616,17.3,20250616,11.7,20250616,22.5,20250616,74.04
00368,Bergen,19730101,20250616,52.8152,9.9248,20250616,16.5,,,,,20250616,73.58
00377,"Bergzabern,",19470101,20250616,49.1070,7.9967,20250616,19.1,20250616,15.2,20250616,23.7,20250616,65.29
00379,"Berka,",19540701,20250616,50.9075,11.2665,20250616,16.6,20250616,10.2,20250616,20.9,20250616,73.67
00390,"Berleburg,",19861201,20250616,50.9837,8.3683,20250616,14.8,20250616,9.6,20250616,19.3,20250616,73.88
00400,Berlin-Buch,19510101,20250616,52.6310,13.5021,20250616,17.9,20250616,14.0,20250616,22.7,20250616,68.00
00403,Berlin-Dahlem,19500101,20250616,52.4537,13.3017,20250616,18.2,20250616,15.2,20250616,22.6,20250616,67.63
00420,Berlin-Marzahn,19930501,20250616,52.5447,13.5598,20250616,18.6,20250616,15.9,20250616,23.2,20250616,65.33
00427,Berlin,19570101,20250616,52.3807,13.5306,20250616,18.3,20250616,12.8,20250616,23.2,20250616,64.38
00433,Berlin-Tempelhof,19480101,20250616,52.4676,13.4020,20250616,18.5,20250616,15.5,20250616,23.4,20250616,65.38
00445,Bernburg/Saale,18980101,20250616,51.8218,11.7110,20250616,17.8,20250616,13.6,20250616,24.0,20250616,69.50
00460,Berus,19510101,20250616,49.2641,6.6868,20250616,18.0,20250616,12.7,20250616,23.3,20250616,67.00
00535,Blankenrath,19470101,20250616,50.0372,7.3079,20250616,15.7,20250616,8.4,20250616,21.5,20250616,72.75
00555,Bochum,19400101,20250616,51.5026,7.2289,20250616,18.4,20250616,11.9,20250616,24.1,20250616,70.13
