station_id,station_name,data_date,lat,lon,humidity,max_temperature,mean_temperature,min_temperature
00044,Großenkneten,18.06.2025 13:20,52.9336,8.2370,65.5,25.2,22.7,12.1
00073,Aldersbach-Kramersepp,18.06.2025 13:20,48.6183,13.0620,44.6,26.5,26.0,11.8
00078,Alfhausen,18.06.2025 13:20,52.4853,7.9125,44.2,26.4,25.1,11.5
00091,Alsfeld-Eifa,18.06.2025 13:20,50.7446,9.3450,40.9,26.2,26.2,10.8
00096,Neuruppin-Alt,18.06.2025 13:20,52.9437,12.8518,48.9,25.1,23.8,12.7
00102,Leuchtturm,18.06.2025 13:20,53.8633,8.1275,74.3,18.4,17.5,14.9
00131,Geringswalde-Altgeringswalde,18.06.2025 13:20,51.0881,12.9326,45.9,25.9,25.9,13.7
00142,Altomünster-Maisbrunn,18.06.2025 13:20,48.4060,11.3117,41.6,25.8,25.2,10.9
00150,Alzey,18.06.2025 13:20,49.7273,8.1164,38.6,27.8,27.5,12.9
00151,Amberg-Unterammersricht,18.06.2025 13:20,49.4691,11.8546,34.4,28.2,28.2,10.9
00154,Amerang-Pfaffing,18.06.2025 13:20,48.0197,12.2925,41.2,26.0,25.6,9.8
00161,Andernach,18.06.2025 13:20,50.4237,7.4202,43.3,27.4,27.1,12.8
00164,Angermünde,18.06.2025 13:20,53.0316,13.9908,47.2,25.9,25.4,14.3
00167,Anklam,18.06.2025 13:20,53.8409,13.6854,54.3,22.1,21.6,11.2
00183,Arkona,18.06.2025 13:30,54.6791,13.4344,71.6,19.4,18.7,14.8
00191,Arnstein-Müdesheim,18.06.2025 13:20,49.9694,9.9114,37.5,28.0,28.0,10.5
00198,Artern,18.06.2025 13:20,51.3744,11.2920,36.2,27.7,27.6,13.7
00217,Attenkam,18.06.2025 13:20,47.8774,11.3643,38.0,25.7,25.7,10.5
00222,Aue,18.06.2025 13:20,50.5908,12.7139,45.6,25.5,25.0,11.5
00232,Augsburg,18.06.2025 13:20,48.4253,10.9417,45.6,25.8,25.8,9.0
00257,Baden-Baden-Geroldsau,18.06.2025 13:20,48.7270,8.2457,47.1,28.2,28.2,13.3
00259,Müllheim,18.06.2025 13:20,47.8064,7.6387,41.8,28.2,27.8,12.4
00282,Bamberg,18.06.2025 13:20,49.8743,10.9206,36.9,27.7,27.3,10.1
00294,Barsinghausen-Hohenbostel,18.06.2025 13:20,52.3199,9.4300,44.0,26.2,26.0,15.7
00298,Barth,18.06.2025 13:30,54.3405,12.7108,63.6,20.2,20.1,14.9
00303,Baruth,18.06.2025 13:20,52.0613,13.4997,27.8,28.8,28.7,12.3
00314,"Kubschütz,",18.06.2025 13:20,51.1604,14.5042,42.8,27.0,25.6,16.3
00320,Heinersreuth-Vollhof,18.06.2025 13:20,49.9666,11.5198,37.5,28.0,27.1,9.0
00330,Oberzent-Beerfelden,18.06.2025 13:20,49.5617,8.9673,42.7,25.9,25.1,15.2
00342,Belm,18.06.2025 13:20,52.3170,8.1694,44.4,26.2,26.2,12.9
00377,"Bergzabern,",18.06.2025 13:20,49.1070,7.9967,40.7,27.7,27.7,15.5
00379,"Berka,",18.06.2025 13:20,50.9075,11.2665,44.1,26.0,25.9,11.3
00390,"Berleburg,",18.06.2025 13:20,50.9837,8.3683,50.1,23.7,22.9,11.4
00400,Berlin-Buch,18.06.2025 13:20,52.6310,13.5021,43.1,26.3,26.1,13.7
00420,Berlin-Marzahn,18.06.2025 13:20,52.5447,13.5598,43.2,27.1,25.8,16.5
00427,Berlin,18.06.2025 13:30,52.3807,13.5306,38.5,27.2,26.6,15.4
00433,Berlin-Tempelhof,18.06.2025 13:30,52.4676,13.4020,42.9,27.8,25.7,14.6
00445,Bernburg/Saale,18.06.2025 13:20,51.8218,11.7110,29.5,27.9,27.2,15.5
00460,Berus,18.06.2025 13:20,49.2641,6.6868,41.4,26.7,25.6,16.8
00535,Blankenrath,18.06.2025 13:20,50.0372,7.3079,45.3,25.4,24.0,12.0
00555,Bochum,18.06.2025 13:20,51.5026,7.2289,40.1,26.7,26.7,15.1
00591,Boizenburg,18.06.2025 13:20,53.3911,10.6878,54.8,23.6,23.6,13.8
00596,Boltenhagen,18.06.2025 13:20,54.0027,11.1908,57.9,23.3,22.3,12.8
00603,Königswinter-Heiderhof,18.06.2025 13:20,50.7293,7.2040,45.8,25.8,25.8,13.8
00617,Borken,18.06.2025 13:20,51.8730,6.8863,43.4,27.0,26.8,12.1
00656,Braunlage,18.06.2025 13:20,51.7234,10.6021,51.2,22.8,22.4,13.0
00662,Braunschweig,18.06.2025 13:20,52.2915,10.4464,42.2,25.8,25.4,15.2
00691,Bremen,18.06.2025 13:20,53.0451,8.7981,57.7,24.5,23.2,11.8
00701,Bremerhaven,18.06.2025 13:20,53.5332,8.5761,71.7,20.5,19.5,15.1
00704,Bremervörde,18.06.2025 13:20,53.4451,9.1390,59.1,23.7,23.2,12.1
00722,Brocken,18.06.2025 13:20,51.7986,10.6183,54.0,18.3,18.0,12.4
00755,"Buchen,",18.06.2025 13:20,49.5182,9.3213,35.8,27.4,27.4,9.9
00757,Buchenbach,18.06.2025 13:20,47.9625,7.9983,53.2,26.0,26.0,13.3
00760,Rosengarten-Klecken,18.06.2025 13:20,53.3629,9.9435,58.0,23.7,22.5,12.8
00817,Burgwald-Bottendorf,18.06.2025 13:20,51.0306,8.8146,36.1,27.0,26.9,10.7
00840,Carlsfeld,18.06.2025 13:20,50.4313,12.6114,62.4,21.2,21.0,10.2
00853,Chemnitz,18.06.2025 08:00,50.7913,12.8720,64.1,21.8,21.8,14.0
00856,Chieming,18.06.2025 13:20,47.8843,12.5404,48.1,25.2,25.2,10.6
00860,Algermissen-Groß,18.06.2025 13:20,52.2731,10.0163,41.9,26.1,26.0,14.8
00867,Lautertal-Oberlauter,18.06.2025 13:20,50.3066,10.9679,37.9,27.4,27.1,11.5
00880,Cottbus,18.06.2025 13:20,51.7759,14.3168,30.9,29.2,28.7,14.4
00891,Cuxhaven,18.06.2025 13:20,53.8713,8.7060,66.4,21.2,20.2,15.2
00896,Dachwig,18.06.2025 13:20,51.0778,10.8619,43.2,27.5,27.0,13.6
00917,Darmstadt,18.06.2025 13:20,49.8809,8.6779,34.5,28.3,27.7,11.7
00953,Deuselbach,18.06.2025 13:20,49.7619,7.0542,42.4,25.2,25.1,13.9
00963,Diepholz,18.06.2025 13:20,52.5881,8.3424,44.5,26.5,25.9,13.3
00983,Dillingen/Donau-Fristingen,18.06.2025 13:20,48.5562,10.5600,40.6,26.0,25.5,10.5
