station_id,von_datum,bis_datum,geoBreite,geoLaenge
00001,19370101,19860630,47.8413,8.8493
00003,18910101,20110331,50.7827,6.0941
00011,19800901,20250611,47.9736,8.5205
00044,19690101,20250611,52.9336,8.2370
00052,19690101,20011231,53.6623,10.1990
00061,19750701,19780831,48.8443,12.6171
00070,19730601,19860930,48.2052,9.0371
00071,19861101,20191231,48.2156,8.9784
00072,19780901,19950531,48.2766,9.0001
00073,19590301,20250611,48.6183,13.0620
00078,19610101,20250611,52.4853,7.9125
00090,19880219,20250611,50.7557,9.2583
00091,19781101,20250611,50.7446,9.3450
00093,19771201,19781031,50.7691,9.2542
00096,20190409,20250611,52.9437,12.8518
00098,18870215,19541231,51.1890,8.4671
00102,19980101,20250611,53.8633,8.1275
00106,19710101,20061201,51.7976,10.4429
00116,18990601,19730531,50.9833,12.4333
00125,19740301,20250611,47.8342,10.8667
00126,19791101,20101130,49.5447,10.2213
00129,19910101,20061231,53.6893,13.2420
00131,20041101,20250611,51.0881,12.9326
00132,19531211,19870930,49.7725,12.3891
00142,19550101,20250611,48.4060,11.3117
00150,19510101,20250611,49.7273,8.1164
00151,19470101,20250611,49.4691,11.8546
00154,19940101,20250611,48.0197,12.2925
00161,19801201,20250611,50.4237,7.4202
00164,19080517,20250611,53.0316,13.9908
00167,20040901,20250611,53.8409,13.6854
00169,19470101,19661231,50.5730,13.0053
00172,19690501,19911130,52.2486,9.5056
00174,19840301,19871231,49.1886,7.9766
00175,19520101,19760430,49.2964,10.5751
00176,19760601,19951130,49.2475,10.5826
00177,19470501,19571031,49.3158,10.5815
00181,19991101,20081102,52.8761,11.5042
00183,19470101,20250611,54.6791,13.4344
00184,19470101,19660630,52.6769,12.0077
00185,19460101,19571231,54.6289,9.9294
00186,18800101,19980930,51.3773,8.0713
00191,19860401,20250611,49.9694,9.9114
00193,19680101,19971031,51.3845,9.0820
00197,19900801,20250611,51.3219,9.0558
00198,19540101,20250611,51.3744,11.2920
00202,19470101,19511231,49.9771,9.1091
00207,19470101,19641231,51.7498,11.4667
00211,19810901,19991231,50.5800,8.4685
00217,19410101,20250611,47.8774,11.3643
00221,19850801,19900531,48.5515,11.7117
00222,19770101,20250611,50.5908,12.7139
00231,18790101,19740430,48.3723,10.8948
00232,19470101,20250611,48.4253,10.9417
00243,19580901,20061231,53.4621,7.4670
00257,19490101,20250611,48.7270,8.2457
00259,19470101,20250611,47.8064,7.6387
00268,19540101,20081231,48.5293,8.2727
00273,19861201,19900430,47.8413,9.6606
00282,19490101,20250611,49.8743,10.9206
00283,19480101,19591231,49.8808,10.8695
00284,18790101,19581231,49.8800,10.8800
00288,19910101,19980831,53.8409,13.7549
00294,19920201,20250611,52.3199,9.4300
00298,19470101,20250611,54.3405,12.7108
00303,19930906,20250611,52.0613,13.4997
00314,19360101,20250611,51.1604,14.5042
00320,18790101,20250611,49.9666,11.5198
00321,19790101,19951031,47.6797,12.0017
00326,20040701,20130708,51.7204,8.0577
00327,19620901,19961031,53.6234,8.8323
00330,19370101,20250611,49.5617,8.9673
00335,19761201,19771031,54.3426,10.6018
00341,19680201,19930131,47.7277,7.5520
00342,20101201,20250611,52.3170,8.1694
00348,19891214,20110901,50.4135,7.5886
00350,19990601,19991231,51.6715,10.7268
00351,19490301,19880630,51.6926,10.6978
00355,19470101,19891031,49.6789,8.6276
00361,19480101,19981231,47.6344,13.0109
00365,19911001,20020930,49.3311,11.4303
00368,19730101,20250611,52.8152,9.9248
00377,19470101,20250611,49.1070,7.9967
00379,19540701,20250611,50.9075,11.2665
00386,19730701,19861130,51.0454,8.3851
00390,19861201,20250611,50.9837,8.3683
00395,19480701,19531231,52.4167,13.4833
00399,19750101,20150630,52.5198,13.4057
