month,cur_min,cur_q1,cur_median,cur_q3,cur_max,cur_mean,ref_min,ref_q1,ref_median,ref_q3,ref_max,ref_mean
1,-8.2,-2.1,0.5,2.8,8.1,0.7,-10.5,-4.2,-1.2,1.5,6.3,-1.5
2,-7.0,-1.5,1.2,3.5,10.2,1.4,-9.8,-3.8,-0.8,2.0,7.5,-1.0
3,-3.2,1.5,4.8,7.2,15.1,4.9,-5.5,-0.5,2.8,5.8,12.4,2.7
4,0.5,5.2,8.5,11.8,20.3,8.6,-1.5,3.2,6.5,9.8,18.1,6.5
5,5.8,9.5,13.2,16.5,25.1,13.0,4.2,7.8,11.0,14.2,22.8,10.9
6,10.2,13.8,17.5,20.8,30.5,17.4,8.5,12.0,15.2,18.5,27.3,15.1
7,12.5,16.2,19.8,23.1,33.2,19.9,10.8,14.5,17.8,21.0,30.5,17.7
8,12.0,15.8,19.2,22.5,32.8,19.3,10.2,14.0,17.2,20.5,29.8,17.1
9,8.2,11.5,14.8,18.2,26.5,14.9,6.8,10.0,13.0,16.2,24.2,12.9
10,3.5,6.8,9.5,12.8,20.2,9.6,2.0,5.2,8.0,11.0,18.0,8.0
11,-2.5,1.5,4.2,7.0,13.8,4.3,-4.2,0.0,2.5,5.5,11.5,2.5
12,-6.5,-1.5,1.0,3.5,9.5,1.1,-8.8,-3.5,-0.5,2.2,7.8,-0.8
